object,index,x,y,z,nx,ny,nz,H,K,k1,k2
Torus,259,-0.7238537073135376,0.2998300790786743,-0.125,0.7975683212280273,-0.3303646445274353,-0.5047216415405273,2.5255800296620636,-3.776977764511021,5.7123546138990555,-0.6611945545749278
Torus,260,-0.8083945512771606,0.3348480463027954,-0.21650634706020355,0.4543914198875427,-0.18821540474891663,-0.8706913590431213,3.452011061618376,-2.278184716492524,7.219578590678492,-0.3155564674417404
Torus,261,-0.9238795042037964,0.38268348574638367,-0.25,-0.009962668642401695,0.0041267783381044865,-0.999941885471344,3.3823924610932874,1.5841740717106e-05,6.764782580390586,2.341795989568851e-06
Torus,262,-1.0393644571304321,0.4305189251899719,-0.21650634706020355,-0.4693262577056885,0.19440129399299622,-0.8613600134849548,6.636223778595243,2.674806032612748,13.067760143024831,0.20468741416565361
Torus,263,-1.1239053010940552,0.465536892414093,-0.125,-0.8025445938110352,0.3324260711669922,-0.4953937530517578,4.063314928157384,2.487383977711294,7.80806381528925,0.3185660410255178
Torus,264,-1.2074073553085327,0.3235236406326294,0.0,-0.965925931930542,0.25881871581077576,0.0,7.09598030073122,4.800936072625153,13.845202504492212,0.34675809697022864
Torus,265,-1.1750550270080566,0.31485486030578613,0.125,-0.8390719890594482,0.22482874989509583,0.49538901448249817,4.002985917117687,2.4504789238808438,7.687197817750127,0.31877401648524817
Torus,266,-1.0866665840148926,0.29117128252983093,0.21650634706020355,-0.49068742990493774,0.1314784735441208,0.8613590002059937,4.446140473285384,1.792063109203328,8.685963818542005,0.206317128028763
Torus,267,-0.9659258723258972,0.25881892442703247,0.25,-0.010413220152258873,0.0027898719999939203,0.999941885471344,4.702355014356471,-4.1088996487710486e-07,9.40471007240275,-4.3689806439317636e-08
Torus,268,-0.8451851606369019,0.226466566324234,0.21650634706020355,0.4750666320323944,-0.12729397416114807,0.8706939816474915,2.902833395561002,-1.9157706084267183,6.118764416402546,-0.31309762528054197
Torus,269,-0.7567967772483826,0.20278297364711761,0.125,0.8338658213615417,-0.22343319654464722,0.5047232508659363,2.923793573771364,-4.372509907815529,6.518383782660585,-0.6707966351178571
Torus,270,-0.7244443893432617,0.19411419332027435,3.0616171314629196e-17,0.9659258723258972,-0.2588191628456116,-1.703734398006418e-08,2.6994698421935674,-5.256135914736982,6.241118235759696,-0.8421785513725619
Torus,271,-0.7567967772483826,0.20278297364711761,-0.125,0.8338634371757507,-0.22343268990516663,-0.5047273635864258,2.469879922721645,-3.6936900580762035,5.599416132887567,-0.6596562874442773
Torus,272,-0.8451851606369019,0.226466566324234,-0.21650634706020355,0.47506558895111084,-0.12729349732398987,-0.8706945776939392,3.3166142512824193,-2.1888607703971745,6.948251741755115,-0.3150232391902761
Torus,273,-0.9659258723258972,0.25881892442703247,-0.25,-0.010413235984742641,0.0027898717671632767,-0.999941885471344,4.702354653173454,-4.1088993258735913e-07,9.404709350036715,-4.3689806439317636e-08
Torus,274,-1.0866665840148926,0.29117128252983093,-0.21650634706020355,-0.4906907379627228,0.13148023188114166,-0.8613567352294922,3.7640762817282756,1.5171524732064758,7.320917265166091,0.20723529829046017
Torus,275,-1.1750550270080566,0.31485486030578613,-0.125,-0.8390729427337646,0.22482872009277344,-0.49538740515708923,4.613976277833213,2.82449881246674,8.910984339256988,0.31696821640943984
Torus,276,-1.2393059730529785,0.1631578952074051,0.0,-0.9914448261260986,0.1305260807275772,0.0,3.596162924657794,2.4330352603320855,6.836433364042632,0.3558924852729559
Torus,277,-1.2060989141464233,0.1587861031293869,0.125,-0.8612362742424011,0.11338414251804352,0.49539485573768616,5.674300855219409,3.47352949334274,11.033793434018355,0.3148082764204627
Torus,278,-1.1153753995895386,0.1468421071767807,0.21650634706020355,-0.503650963306427,0.06630628556013107,0.8613589406013489,4.446141383063071,1.792052173898986,8.685966971962573,0.2063157941635687
